ANT 5-27-69 S1,,ANT 5-27-69 S2,,ANT 5-27-69 S3,,ANT 3-24-70 S3,,ANT 3-24-70 S5,,ANT 3-24-70 S7,,ANT 8-18-70 SA3,,ANT 8-18-70 SB1,,ANT 8-18-70 SB3,,MON 11-14-67 SC3,,MON 11-14-67 SD4,,MON 6-7-68 SC1,,MON 6-7-68 SC2,,MON 6-7-68 SC4,,MON 6-7-68 SD2,,MON 6-7-68 SD3,,MON 6-7-68 SD4,,MON 9-25-68 S1,,MON 9-25-68 S2,,MON 9-25-68 S3,,MON 9-25-68 S4,,CON 5-6-1969 S2,,CON 5-6-1969 S3,,CON 5-6-1969 S4,,CON 5-6-1969 S5,,CON 5-6-1969 S6,,CON 9-30-69 S1,,CON 9-30-69 S2,,CON 9-30-69 S3,,CON 9-30-69 S4,,CON 4-30-70 S1,,CON 4-30-70 S5,,CHA 4-20-71 S2,,CHA 4-20-71 S4,,CHA 4-20-71 S7,,CHA 5-4-71 S2,,CHA 5-4-71 S3,,CHA 5-4-71 S4,,SAL 9-6-72 S1,,SAL 9-6-72 S2,,SAL 9-6-72 S3,,SAL 9-6-72 S4,,SAL 9-6-72 S5,,DIF 6-21-68 S2,,DIF 6-21-68 S3,,BEA 5-22-69 S3,,LIT 9-6-68 S1,,ANA 6-15-69 S1 ,,ANA 6-15-69 S3,,COM 11-4-68 S1,,COM 11-4-68 S2,,COM 11-4-68 S3,,COM 11-4-68 S4,,COM 11-4-68 S5,,BAR 6-25-71 S1,,BAR 6-25-71 S3,,BAR 6-25-71 S4,,AMI 10-21-68 S1,,TIC 10-8-68 S1,,TIC 10-8-68 S2,,TIC 10-8-68 S3,,TIC 10-8-68 S4,,TAN 4-24-69 S1 ,,TAN 4-24-69 S2,,TAN 4-24-69 S3,,TAN 4-24-69 S4 ,,TAN 4-24-69 S5,,TAN 9-15-69 S1,,TAN 9-15-69 S4,,TAN 9-15-69 S5,,TAN 9-15-69 S6,,RED 4-7-71 S1,,RED 4-7-71 S4,,RED 4-14-71 S1,,RED 4-14-71 S4,,RED 3-13-72 S4,,RED 6-12-72 S1,,RED 6-12-72 S4,,SAB 9-9-69 S2,,SAB 9-9-69 S4,,SAB 2-4-72 S1,,SAB 2-4-72 S2,,SAB 2-4-72 S3,,SAB 2-4-72 S4,,SAB 4-16-72 SA1,,SAB 4-16-72 SA2,,SAB 4-16-72 SA3 ,,SAB 4-16-72 SB1,,SAB 4-16-72 SB2,,SAB 4-16-72 SB3 ,,SAB 4-16-72 SB4,,SAB 4-16-72 SC1,,SAB 4-16-72 SC2,,SAB 4-16-72 SC3,,SAB 4-16-72 SC4,,MIS 3-11-68 S1,,MIS 3-11-68 S3 ,,MIS 3-11-68 S4,,MIS 8-7-68 S1,,MIS 8-7-68 S3,,MIS 8-7-68 S4,,WIN 3-21-71 S1,,WIN 3-21-71 S3 ,,WIN 3-21-71 S5,,WIN 6-29-71 S1,,WIN 6-29-71 S3,,LOO 6-11-05 S1,,SMI 7-7-89 S14,,NAR 6-28-06 S1,,NAR 6-28-06 S2,,NAR 6-28-06 S3,,NAR 6-28-06 S4,,NAR 6-28-06 S5,,NAR 6-28-06 S6,,NAR 6-28-06 S7,,NAR 6-28-06 S8,,NAR 6-28-06 S9,,NAR 6-28-06 S10,,NAR 6-28-06 S11,,NAR 6-28-06 S12,,NAR 6-28-06 S13,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,10,0,36,0,13.6,0,29.6,0,40,0,23,0,11.4,0,25,0,28,0,42,0,6,0,11.6,0,22,0,13,0.01,18,0,23.5,0,13,0,52,0,68,0,83,0,5.8,0,9.6,0,14.4,0,19.6,0,29.8,0.01,4.6,0,11.2,0,18.8,0,31.2,0,1.25,0,9.4,0,7,0,13,0,24.667,0,8.1,0,18.5,0,33.333,0,6.5,0,10.5,0,22.5,0,34,0,43,0,3,0,5.4,0,3.367,0,0.6,0,16.79,0,47.5,0,20,0,80,0,102,0,114,0,132,0,4.5,0,107.5,0,198.5,0,11.55,4.03,8.75,0,47.25,0,78.25,0,97.25,0,7.831,0,18.5,0,31.917,0,40.667,0,50.167,0,11.367,0,52.867,0,65.867,0,76.867,0,2.25,0,84.75,0,2.917,0,78.917,0,77.917,0,6.25,0,114.5,0,5.333,0,34.333,0,4.833,0,24.581,0,43.917,0,54.917,0,54.006,0,148,0,186,0,57,0,107,0,185,0,294,0,40,0.1,93,0,175,0,202,0,12.5,0,28.75,0,70.5,0,9.5,0,19.75,0,50.5,0,2.125,0,15,0,30,0,1.125,0,7.667,0,0.05,0,0.333,0.1,2.25,0,5.833,0.362,10.667,0.633,18.667,0.271,22,0,27.5,1.658,32.5,0.362,37.333,7.642,41.667,0.543,48.167,0.633,54.667,1.405,62.333,1.212,68,2.379
2.2,0.48,10.5,0.22,37,0.1,14,0.22,30,0.08,40.4,0.35,23.5,0.04,11.6,0.03,25.5,0.06,29,0.2,43,0.26,6.2,0,11.8,0.24,22.2,0.28,13.5,0.34,18.5,0,24,0.02,14,0.24,54,0.65,70,0.05,85,0.19,6,26.36,9.8,6.33,14.8,5.2,20.1,2.06,30.3,0.17,4.8,9.96,11.6,2.36,19.3,0.96,31.7,0.22,1.3,9.88,9.6,1.43,7.333,1.41,13.2,0.41,25,0.13,8.3,0.28,18.7,0.11,33.667,0.11,6.75,1.06,11,0.9,23,0.58,34.5,1.11,43.5,0.22,3.1,0.51,5.5,0.29,3.383,0.1,0.7,2.97,17.29,0.57,48,0.73,20.5,2,81,1.96,103,1.76,115,0.95,133,0.47,4.75,5.48,108.5,0.06,200.5,0.08,12.05,10.69,9.25,4.15,48.25,0.52,79.25,0.14,98.25,0.59,8.167,2.5,18.833,1.37,32.417,2.21,41.167,0.77,51.167,0.16,11.867,5.26,53.867,1.63,66.867,0.36,77.667,1.55,2.375,13.46,85.75,0.14,3.167,20.37,79.917,0.13,78.917,0.21,6.375,1.32,115.167,0.17,5.583,0.06,34.833,0.04,4.916333333,2.35,24.917,0.09,44.417,0.09,55.917,0.12,55,0.16,149,0.04,187,0.14,58,0.16,108,0.09,186,0.07,295,0.11,41,0.24,94,0.07,176,0.09,203,0.01,12.75,0.48,29,0.11,70.75,0.03,9.75,0.63,20,0.03,50.75,0.01,2.1875,0.67,15.125,0.23,30.25,0.2,1.1875,0.58,7.750333333,0.24,0.067,0,0.417,1.23,2.333,0.362,6,0.543,10.75,0.904,18.833,0.09,22.167,0.181,27.667,3.799,32.667,0.362,37.5,13.657,41.833,1.085,48.333,0.904,54.833,1.032,62.5,1.274,68.167,1.859
2.4,2.12,11,0.8,38,0.19,14.4,2.11,30.4,0.34,40.8,0.83,24,0.14,11.8,0.17,26,0.36,30,0.96,44,1.16,6.4,1.22,12,0.9,22.4,0.52,14,1.44,19,0.14,24.5,0.18,15,4.6,56,2.29,72,0.31,87,0.47,6.2,62.92,10,21.38,15.2,24.22,20.6,7.59,30.8,0.64,5,44.74,12,7.74,19.8,2.62,32.2,0.66,1.35,68.74,9.8,4.13,7.667,5.67,13.4,0.84,25.333,0.21,8.5,0.69,18.9,0.17,34,0.22,7,32.47,11.5,6.97,23.5,2.15,35,2.16,44,0.4,3.2,1.73,5.6,2.21,3.4,0.24,0.8,17.49,17.79,2.99,48.5,1.5,21,9.08,82,5.27,104,3.81,116,2.1,134,1.02,5,27.56,109.5,0.24,202.5,0.16,12.55,19.83,9.75,20.27,49.25,2.18,80.25,0.43,99.25,1.49,8.5,8.96,19.167,3.88,32.917,5.52,41.667,1.86,52.167,0.54,12.367,17.96,54.867,3.94,67.867,1.15,78.867,3.14,2.5,21.41,86.75,0.31,3.417,20.79,80.917,0.29,79.917,0.42,6.5,5.73,115.833,0.35,5.833,0.13,35.333,0.15,4.999666667,4.48,25.25,0.39,44.917,0.31,56.917,0.28,56,0.71,150,0.04,188,0.29,59,0.48,109,0.25,187,0.08,296,0.14,42,0.69,95,0.18,177,0.16,204,0.08,13,1.13,29.25,0.21,71,0.06,10,2.89,20.25,0.07,51,0.02,2.25,2.75,15.25,0.61,30.5,0.54,1.25,3.1,7.833666667,0.13,0.083,0,0.463,11.63,2.417,0.362,6.167,0.09,10.833,3.428,19,0.271,22.333,0.543,27.833,5.815,32.833,0.995,37.667,17.274,42,1.157,48.5,1.394,55,1.193,62.667,1.334,68.333,1.244
2.6,5.4,11.5,5.3,39,0.63,14.8,9.97,30.8,0.96,41.2,1.45,24.5,0.61,12,0.43,26.5,1.49,31,2.38,45,1.97,6.6,6.7,12.2,2.48,22.6,0.66,14.5,8.82,19.5,0.68,25,0.9,16,13.38,58,2.98,74,0.76,89,0.84,6.4,66.12,10.2,40.96,15.6,22.26,21.1,13.48,31.3,1.94,5.2,85.74,12.4,16.08,20.3,4.46,32.7,1.42,1.4,83.98,10,6.64,8,8.41,13.6,1.6,25.667,0.43,8.7,1.59,19.1,0.2,34.333,0.31,7.25,41.3,12,23.75,24,5.02,35.5,3.43,44.5,0.5,3.3,2.88,5.7,2.82,3.417,0.41,0.9,29.42,18.29,7.53,49,2.4,21.5,36.16,83,11.41,105,6.27,117,3.53,135,1.71,5.25,51.58,110.5,0.47,204.5,0.27,13.05,30.36,10.25,38,50.25,4.64,81.25,1.04,100.25,2.59,8.833,25.74,19.5,8.51,33.417,10.43,42.167,3.58,53.167,1.6,12.867,51.88,55.867,6.7,68.867,2.61,79.867,4.86,2.625,20.96,87.75,0.57,3.667,17.39,81.917,0.5,80.917,0.68,6.625,12.66,116.5,0.52,6.083,0.67,35.833,0.3,5.083,6.67,25.583,1.61,45.417,0.56,57.917,0.57,57,2.94,151,0.06,189,0.41,60,1.66,110,0.55,188,0.15,297,0.23,43,1.47,96,0.46,178,0.16,205,0.09,13.25,2.23,29.5,0.27,71.25,0.09,10.25,3.7,20.5,0.1,51.25,0.06,2.3125,5.13,15.375,1.01,30.75,0.92,1.3125,0.74,7.917,0.27,0.1,0,0.5,32.47,2.5,0.543,6.333,0.452,10.917,7.479,19.167,0.724,22.5,1.727,28,12.752,33,1.99,37.833,26.047,42.167,1.963,48.667,1.972,55.167,1.596,62.833,1.693,68.5,2.315
2.8,33.94,12,14.34,40,1.63,15.2,25.93,31.2,2.01,41.6,2.62,25,1.84,12.2,1.78,27,2.83,32,3.74,46,2.83,6.801,13.98,12.4,6.96,22.8,0.91,15,14.93,20,1.98,25.5,1.9,17,19.76,60,3.79,76,1.25,91,1.14,6.6,66.28,10.4,40.27,16,18.41,21.6,13.44,31.8,2.88,5.4,86.04,12.8,25.3,20.8,7.02,33.2,2.4,1.45,56.94,10.2,7.31,8.333,7.48,13.8,2.62,26,0.9,8.9,3.29,19.3,0.24,34.667,0.38,7.5,50.93,12.5,33.06,24.5,10.14,36,5.5,45,0.93,3.4,3.67,5.8,3.16,3.431,0.65,1,13.96,18.79,18.1,49.5,3.49,22,68.76,84,18.84,106,9.87,118,5.61,136,2.55,5.5,69.56,111.5,0.77,206.5,0.39,13.55,37.99,10.75,51.92,51.25,8.2,82.25,2.31,101.25,3.98,9.167,57.06,19.833,13.66,33.917,15.11,42.667,5.8,54.167,4.12,13.367,83.66,56.867,10.03,69.867,5.02,80.867,6.75,2.75,19.59,88.75,0.84,3.917,14.41,82.917,0.76,81.917,0.94,6.75,20.44,117.167,0.69,6.333,1.53,36.313,0.49,5.166333333,8.81,25.917,2.72,45.917,0.98,58.917,0.81,58,5.59,152,0.05,190,0.65,61,4.88,111,1.63,189,0.32,298,0.4,44,2.78,97,0.94,179,0.16,206,0.08,13.5,3.13,29.75,0.36,71.5,0.11,10.5,2.56,20.75,0.16,51.5,0.1,2.375,8.6,15.5,1.6,31,1.41,1.375,11.47,8.000333333,0.49,0.117,0,0.542,40.5,2.583,3.247,6.5,1.081,11,14.109,19.333,1.644,22.667,4.495,28.167,21.073,33.167,3.654,38,40.065,42.333,3.138,48.833,3.03,55.333,1.908,63,2.279,68.667,1.443
3,75.4,12.5,27.02,41,2.56,15.6,45.68,31.6,5.41,42,3.37,25.5,3.4,12.4,3.47,27.5,4.19,33,4.75,47,3.82,7,19.93,12.6,9.06,23,1.15,15.5,19.06,20.5,4.98,26,4.72,18,19.18,62,4.44,78,1.72,93,1.52,6.8,56.32,10.6,35.37,16.4,14.36,22.1,12.11,32.3,4.01,5.6,83.88,13.2,30.86,21.3,9.18,33.7,4.42,1.5,29.92,10.4,7.54,8.667,4.89,14,3.73,26.333,1.37,9.1,4.98,19.5,0.29,35,0.43,7.75,52.69,13,32.67,25,14,36.5,7.5,45.5,1.33,3.5,4.29,5.9,3.42,3.45,1.05,1.1,8.04,19.29,26.7,50,4.73,22.5,143.76,85,25.29,107,14.24,119,8.59,137,3.47,5.75,81.68,112.5,1.13,208.5,0.55,14.05,40.07,11.25,49.5,52.25,12.42,83.25,4.94,102.25,5.68,9.5,107.3,20.167,19.77,34.417,19.04,43.167,8.48,55.167,9.07,13.867,83.92,57.867,12.57,70.867,7.72,81.867,7.93,2.875,17.28,89.75,1.08,4.167,11.54,83.917,1.03,82.917,1.21,6.875,25.85,117.413,0.87,6.583,4.39,36.831,0.7,5.249666667,10.84,26.25,3.5,46.417,1.31,59.917,0.92,59,9.62,153,0.17,191,0.89,62,12.3,112,2.56,190,0.63,299,0.68,45,5.45,98,1.37,180,0.29,207,0.07,13.75,4.45,30,0.45,71.75,0.13,10.75,1.55,21,0.2,51.75,0.13,2.4375,11.81,15.625,2.3,31.25,2.11,1.4375,11.73,8.083666667,0.86,0.133,0,0.592,35.37,2.667,44.316,6.667,11.396,11.083,30.027,19.5,4.522,22.833,8.927,28.333,34.368,33.333,6.467,38.167,53.903,42.5,4.739,49,4.594,55.5,2.912,63.167,2.523,68.833,1.678
3.2,92.12,13,29.16,42,3.62,16,48.98,32,9.25,42.4,4.55,26,5.94,12.6,6.13,28,5.82,34,4.78,48,4.24,7.2,21.1,12.8,10.45,23.2,1.46,16,18.92,21,7.52,26.5,6.91,19,15.84,64,4.51,80,2.06,95,1.89,7,38.32,10.8,30.76,16.8,11.1,22.6,10.09,32.8,4.88,5.8,77.38,13.6,34.1,21.8,11.09,34.2,5.54,1.55,19.9,10.6,7.29,9,2.64,14.2,4.56,26.667,1.81,9.3,6.23,19.7,0.34,35.333,0.54,8,44.75,13.5,19.8,25.5,13.86,37,7.99,46,1.88,3.6,4.76,6,3.63,3.467,1.84,1.2,5.52,19.79,33.2,50.5,6.24,23,178.28,86,29.75,108,17.27,120,11.38,138,4.67,6,79.18,113.5,1.66,210.5,0.73,14.55,36.33,11.75,40.17,53.25,14.56,84.25,7.5,103.25,7.4,9.813,124.12,20.5,27.75,34.917,22.18,43.667,11.67,56.167,13.03,14.367,74.14,58.867,13.2,71.867,9.54,82.867,8.57,3,14.77,90.75,1.31,4.417,9.5,84.917,1.29,83.917,1.47,7,26.65,118.4,1.05,6.833,6.22,37.333,0.88,5.333,12.59,26.583,4.22,46.917,1.58,60.917,0.79,60,13.14,154,0.44,192,1.15,63,20.68,113,4.18,191,1.04,300,0.83,46,7.48,99,1.94,181,0.44,208,0.08,14,5.18,30.25,0.53,72,0.17,11,1.03,21.25,0.27,52,0.15,2.5,15.07,15.75,2.96,31.5,3.15,1.5,10.87,8.167,1.22,0.15,0,0.625,21.73,2.75,175.547,6.75,28.127,11.167,49.833,19.667,11.034,23,18.45,28.5,52.818,33.5,10.853,38.333,72.986,42.667,7.597,49.167,6.684,55.667,3.672,63.333,3.482,69,1.944
3.4,79.56,13.5,23.84,43,4.88,16.4,35.36,32.4,11.26,42.8,5.66,26.5,8.66,12.8,9.02,28.5,7.45,35,4.43,49,3.96,7.4,19.96,13,11.57,23.4,1.79,16.5,16.42,21.5,9.54,27,8.89,20,12.43,66,4.27,82,2.38,97,2.08,7.2,29.44,11,26.2,17.2,8.37,23.1,8.29,33.3,5.4,6,69.9,14,32.88,22.3,13,34.7,8.1,1.6,15.62,10.8,6.35,9.311,1.25,14.4,5.3,27,2.24,9.5,7.01,19.9,0.33,35.667,0.66,8.25,28.9,14,12.9,26,11.3,37.5,8.1,46.5,2.57,3.701,5.15,6.1,3.81,3.483,3.01,1.3,4.28,20.29,34.3,51,7.52,23.5,203.76,87,32.01,109,18.58,121,13.42,139,6.13,6.25,64.86,114.5,2.26,212.5,0.95,15.05,31.13,12.25,28.88,54.25,15,85.25,8.94,104.25,8.44,10.167,120.42,20.833,34.36,35.417,23.12,44.167,15.5,57.167,14.24,14.867,62.36,59.867,12.06,72.867,10.23,83.867,8.08,3.125,12.44,91.75,1.46,4.667,7.82,85.917,1.42,84.917,1.66,7.125,25.27,119.167,1.24,7.083,6.07,37.833,1.07,5.416333333,13.37,26.917,4.19,47.417,1.72,61.917,0.64,61,14.09,155,0.86,193,1.43,64,28.18,114,6.72,192,1.46,301,0.93,47,8.35,100,2.48,182,0.65,209,0.07,14.25,5.15,30.5,0.6,72.25,0.2,11.25,0.73,21.5,0.35,52.25,0.19,2.5625,17.88,15.875,4.01,31.75,3.89,1.5625,9.14,8.250333333,1.74,0.167,0,0.667,14.47,2.833,491.187,6.833,59.51,11.25,85.105,19.833,22.701,23.167,34.368,28.667,75.066,33.667,19.716,38.5,90.893,42.833,10.853,49.333,9.722,55.833,5.987,63.5,4.721,69.167,1.926
3.6,59.02,14.5,12.68,44,4.4,16.8,16.65,32.8,12.8,43.2,6.27,27,10.78,13,11.73,29,8.26,36,3.79,50.1,3.64,7.6,17.96,13.2,12.61,23.6,2.59,17,13.33,22,10.64,27.5,9.52,21,10.36,68,3.93,84,2.57,99,2.1,7.4,21.64,11.2,21.83,17.6,6.46,23.6,6.24,33.8,5.57,6.2,64.44,14.4,29.98,22.8,13.46,35.2,9.54,1.65,12.04,11,5.38,9.667,0.67,14.6,5.67,27.333,2.67,9.7,6.97,20.1,0.42,36,0.92,8.5,19.98,14.5,7.52,26.5,9.19,38,7.84,47,3.18,3.8,5.42,6.2,3.87,3.5,3.57,1.4,3.4,20.79,30,51.5,8.65,24,203.12,89,37.41,110,18.07,122,13.89,140,7.14,6.5,52.4,115.5,2.85,214.5,1.22,15.55,25.3,12.75,16.7,55.25,13.52,86.25,9.77,105.25,8.67,10.5,105.2,21.167,39.66,35.917,22.39,44.667,17.08,58.167,12.79,15.367,51.82,60.867,10.67,73.667,10.08,84.867,6.92,3.25,13.18,92.75,1.5,4.917,6.31,86.917,1.49,85.917,1.65,7.25,22.89,119.833,1.41,7.333,4.24,38.333,1.11,5.499666667,13.72,27.25,3.82,47.917,1.63,62.917,0.5,62,13.69,156,1.36,194,1.76,65,32.46,115,10.36,193,1.9,302,1,48,8.28,101,3.03,183,0.79,210,0.07,14.5,4.46,30.75,0.69,72.5,0.23,11.5,0.53,21.75,0.47,52.5,0.22,2.625,71.74,16,5.01,32,4.38,1.625,7.15,8.333666667,2.16,0.183,0.046715344,0.758,4.3,2.917,1143.359,6.917,124.899,11.333,142.083,20,44.949,23.333,63.852,28.833,116.76,33.833,28.76,38.667,114.046,43,16.279,49.5,14.109,56,7.38,63.667,5.671,69.333,2.198
