TRACER MASS (Kg),WIDTH (m),DEPTH (m),AREA (m^2),VELOCITY (m/s),DISTANCE (m),DISCHARGE (m3/s)
0.463571024,12.8016,0.3048,3.901926,0.307848,2574.944,1.1609888
0.463571024,10.9728,0.51816,5.6856636,0.207264,9575.573,1.1893056
0.463571024,12.8016,0.3048,3.901926,0.417576,21484.689,1.6423744
2.4720764,28.0416,0.527304,14.78644148,0.627888,21484.689,7.362368
2.4720764,23.4696,0.704088,16.52465661,0.521208,42245.175,8.49504
2.4720764,24.0792,0.981456,23.63266514,0.588264,59223.712,12.176224
0.927142048,11.8872,0.661416,7.86238089,0.432816,21484.689,3.398016
1.544934352,24.9936,0.454152,11.35088854,0.408432,12633.319,4.530688
1.544934352,21.0312,0.484632,10.19238813,0.618744,29611.856,6.37128
0.713953808,48.768,0.551688,26.9047088,0.262128,26795.511,6.37128
1.544934352,92.964,0.713232,66.3048711,0.158496,33796.14,9.486128
1.904179216,37.1856,0.789432,29.35548994,0.478536,10299.776,15.57424
1.904179216,49.9872,0.954024,47.68896796,0.316992,18346.476,15.149488
1.904179216,51.2064,0.649224,33.24440952,0.618744,34278.942,18.547504
3.7081146,59.436,1.2192,72.46434,0.35052,18829.278,20.388096
3.7081146,48.1584,0.780288,37.57740544,0.591312,27761.115,22.087104
3.7081146,97.536,1.146048,111.7808896,0.185928,33796.14,22.087104
1.853830504,40.5384,0.323088,13.09746494,0.207264,7483.431,3.0582144
1.853830504,33.528,0.57912,19.416727,0.164592,18829.278,3.1997984
1.853830504,49.6824,0.27432,13.6288701,0.25908,27600.181,3.4546496
1.853830504,31.3944,0.539496,16.93714593,0.19812,33796.14,3.5112832
1.544934352,35.052,0.48768,17.094152,0.323088,8690.436,6.8526656
1.544934352,46.0248,0.338328,15.57147183,0.445008,13437.989,6.8809824
1.544934352,65.532,0.402336,26.3658714,0.25908,19875.349,6.937616
1.544934352,43.2816,0.688848,29.81443076,0.216408,25990.841,6.937616
1.544934352,41.148,0.694944,28.5955434,0.249936,33876.607,7.0792
1.427907616,24.0792,0.36576,8.8072044,0.280416,4425.685,2.5768288
1.427907616,35.6616,0.36576,13.0435812,0.204216,8690.436,2.83168
1.427907616,60.96,0.4572,27.8709,0.100584,13437.989,2.8883136
1.427907616,42.672,0.39624,16.908346,0.170688,19875.349,2.8883136
1.853830504,59.436,0.762,45.2902125,0.679704,4425.685,29.449472
1.853830504,42.9768,1.12776,48.4674951,0.633984,25990.841,30.298976
7.80631832,65.8368,2.86512,188.6302512,0.935736,27889.8622,179.528512
7.80631832,77.724,2.286,177.6769875,0.94488,49583.7654,169.9008
7.80631832,75.5904,1.95072,147.4556416,0.737616,76604.584,107.60384
6.21194244,74.0664,2.307336,170.8959975,0.829056,30062.4712,140.16816
6.21194244,84.7344,2.37744,201.4508652,0.73152,65371.3908,140.16816
6.21194244,99.9744,2.49936,249.8719088,0.3048,104623.1934,140.16816
0.908998368,24.384,0.2286,5.57418,0.438912,9253.705,2.4635616
0.908998368,39.0144,0.188976,7.37278208,0.359664,15304.8234,2.64195744
0.908998368,28.956,0.262128,7.5901751,0.39624,31317.7564,3.0015808
0.908998368,28.956,0.338328,9.79662135,0.310896,44562.6246,3.0298976
